2007/1/1,2007/1/10,5.7,8,1,13.5,8,1,-0.2,8,1
2007/1/11,2007/1/20,5.8,8,1,12.5,8,1,-0.5,8,1
2007/1/21,2007/1/31,6.8,8,1,13.8,8,1,0.3,8,1
2007/2/1,2007/2/10,7.4,8,1,16.2,8,1,-0.9,8,1
2007/2/11,2007/2/20,7.4,8,1,17.0,8,1,0.6,8,1
2007/2/21,2007/2/28,8.5,8,1,16.9,8,1,1.6,8,1
2007/3/1,2007/3/10,9.1,8,1,22.5,8,1,0.8,8,1
2007/3/11,2007/3/20,5.6,8,1,14.8,8,1,0.2,8,1
2007/3/21,2007/3/31,12.0,8,1,22.0,8,1,0.5,8,1
2007/4/1,2007/4/10,11.8,8,1,21.5,8,1,2.1,8,1
2007/4/11,2007/4/20,13.7,8,1,21.6,8,1,6.8,8,1
2007/4/21,2007/4/30,16.5,8,1,27.4,8,1,8.1,8,1
2007/5/1,2007/5/10,19.0,8,1,31.5,8,1,10.3,8,1
2007/5/11,2007/5/20,17.9,8,1,25.9,8,1,10.7,8,1
2007/5/21,2007/5/31,20.0,8,1,30.8,8,1,11.5,8,1
2007/6/1,2007/6/10,21.2,8,1,30.3,8,1,15.1,8,1
2007/6/11,2007/6/20,23.3,8,1,31.7,8,1,16.6,8,1
2007/6/21,2007/6/30,25.0,8,1,32.3,8,1,18.0,8,1
2007/7/1,2007/7/10,24.6,8,1,30.2,8,1,19.6,8,1
2007/7/11,2007/7/20,24.1,8,1,32.2,8,1,20.5,8,1
2007/7/21,2007/7/31,26.8,8,1,34.3,8,1,20.1,8,1
2007/8/1,2007/8/10,28.6,8,1,37.2,8,1,21.1,8,1
2007/8/11,2007/8/20,30.4,8,1,39.4,8,1,24.8,8,1
2007/8/21,2007/8/31,28.3,8,1,37.2,8,1,21.0,8,1
2007/9/1,2007/9/10,27.5,8,1,34.9,8,1,21.4,8,1
2007/9/11,2007/9/20,26.4,8,1,33.1,8,1,20.7,8,1
2007/9/21,2007/9/30,24.4,8,1,33.1,8,1,16.7,8,1
2007/10/1,2007/10/10,21.2,8,1,28.3,8,1,16.5,8,1
2007/10/11,2007/10/20,18.7,8,1,26.5,8,1,12.5,8,1
2007/10/21,2007/10/31,17.4,8,1,24.1,8,1,9.7,8,1
2007/11/1,2007/11/10,15.7,8,1,21.7,8,1,9.3,8,1
2007/11/11,2007/11/20,11.6,8,1,19.8,8,1,3.4,8,1
2007/11/21,2007/11/30,10.2,8,1,18.2,8,1,3.3,8,1
2007/12/1,2007/12/10,8.7,8,1,16.5,8,1,2.5,8,1
2007/12/11,2007/12/20,7.6,8,1,16.9,8,1,1.8,8,1
